rule_id,description,long_description,persona,portfolio,tables_to_join,joins,filters,select_columns,aggregations,conditional_aggregations,groupby_columns,having_conditions,orderby_columns,raw_where,is_distinct,usecase
rule_201_sub,Customer KYC Completion Status,Determines whether customer KYC is fully completed.,KYC Officer,Compliance,"[""customer_master"", ""kyc_status"", ""kyc_document""]","[{""join_type"": ""left"", ""left_keys"": [""customer_id""], ""left_table"": ""customer_master"", ""right_keys"": [""customer_id_sk""], ""right_table"": ""kyc_status""}, {""join_type"": ""left"", ""left_keys"": [""customer_id""], ""left_table"": ""customer_master"", ""right_keys"": [""customer_id_sk""], ""right_table"": ""kyc_document""}]",{},"{""customer_master"": {""customer_id"": ""customer_id"", ""customer_name"": ""customer_name""}}",{},"{""kyc_status"": [{""case"": {""else"": 0, ""then"": 1, ""when"": {""value"": ""TRUE"", ""operator"": ""eq""}}, ""alias"": ""kyc_completion_status"", ""column"": ""kyc_completed_flag"", ""aggregate"": ""MIN"", ""true_result"": ""'Completed'"", ""false_result"": ""'Pending'"", ""final_compare"": {""value"": 1, ""operator"": ""eq""}}]}","{""customer_master"": [""customer_id"", ""customer_name""]}",{},"{""customer_master"": {""customer_id"": ""asc""}}",,f,KYC & Customer Due Diligence Reports
rule_102_sub,PEP Relationships or Politically Exposed,Customers with 'Politic' in new_risk_reason OR having PEP relationship (latest assessment),,Compliance,"[""customer_master"", ""customer_risk_profile"", ""pep_relationships""]","[{""join_type"": ""inner"", ""left_keys"": [""customer_id""], ""left_table"": ""customer_master"", ""right_keys"": [""customer_id""], ""right_table"": ""customer_risk_profile""}, {""join_type"": ""inner"", ""left_keys"": [""customer_id"", ""assessment_date""], ""left_table"": ""customer_risk_profile"", ""right_keys"": [""customer_id"", ""max_assessment_date""], ""right_subquery"": {""alias"": ""latest"", ""aggregations"": {""customer_risk_profile"": {""assessment_date"": {""alias"": ""max_assessment_date"", ""function"": ""MAX""}}}, ""select_columns"": {""customer_risk_profile"": {""customer_id"": ""customer_id""}}, ""tables_to_join"": [""customer_risk_profile""], ""groupby_columns"": {""customer_risk_profile"": [""customer_id""]}}}, {""join_type"": ""left"", ""left_keys"": [""customer_id""], ""left_table"": ""customer_master"", ""right_keys"": [""customer_id""], ""right_table"": ""pep_relationships""}]",{},"{""customer_master"": {""customer_id"": ""customer_id"", ""customer_name"": ""customer_name""}, ""customer_risk_profile"": {""new_risk_reason"": ""new_risk_reason""}}",{},{},{},[],"{""customer_master"": {""customer_id"": ""asc""}}",,t,Customer Political Exposure Report
rule_202_sub,Customers with Missing or Expired KYC Documents,Identifies customers who either have no KYC documents or have at least one expired document based on expiry_flag.,KYC Officer,Compliance,"[""customer_master"", ""kyc_document""]","[{""join_type"": ""left"", ""left_keys"": [""customer_id""], ""left_table"": ""customer_master"", ""right_keys"": [""customer_id_sk""], ""right_table"": ""kyc_document""}]",{},"{""kyc_document"": {""document_type"": ""document_type"", ""document_status"": ""document_status""}, ""customer_master"": {""customer_id"": ""customer_id"", ""customer_name"": ""customer_name""}}",{},{},"{""kyc_document"": [""document_type"", ""document_status""], ""customer_master"": [""customer_id"", ""customer_name""]}","[{""value"": 0, ""logical"": null, ""operator"": ""="", ""expression"": ""COUNT(kyc_document.document_id_sk)""}, {""value"": 1, ""logical"": ""OR"", ""operator"": ""="", ""expression"": ""MAX(CASE WHEN kyc_document.expiry_flag = true THEN 1 ELSE 0 END)""}]","{""customer_master"": {""customer_id"": ""asc""}}",,f,KYC & Customer Due Diligence Reports
rule_103_sub,Customer Eligibility / Constitution Report,Lists customers where customer_type_valid is 'No' or 'NA',,Compliance,"[""customer_master""]",[],"{""customer_type_valid"": {""in"": [""No"", ""NA""]}}","{""customer_master"": {""customer_id"": ""customer_id"", ""customer_name"": ""customer_name"", ""compliance_flag"": ""compliance_flag"", ""customer_type_valid"": ""customer_type_valid""}}",{},{},{},[],"{""customer_master"": {""customer_id"": ""asc""}}",,t,Constitution Risk Concentration Analysis
rule_203_sub,Customers whose KYC review is due or overdue,Track customers where KYC review_date is overdue,KYC Officer,Compliance,"[""customer_master"", ""kyc_status"", ""kyc""]","[{""join_type"": ""inner"", ""left_keys"": [""customer_id""], ""left_table"": ""customer_master"", ""right_keys"": [""customer_id_sk""], ""right_table"": ""kyc_status""}, {""join_type"": ""inner"", ""left_keys"": [""kyc_id_sk""], ""left_table"": ""kyc_status"", ""right_keys"": [""kyc_id_sk""], ""right_table"": ""kyc""}]","{""kyc_status"": {""days_overdue"": {""gt"": 0}}}","{""kyc"": {""next_review_due"": {""alias"": ""next_review_due"", ""expression"": ""to_char(kyc.next_review_due AT TIME ZONE 'Asia/Kolkata', 'YYYY-MM-DD')""}}, ""kyc_status"": {""days_overdue"": ""days_overdue""}, ""customer_master"": {""customer_id"": ""customer_id"", ""customer_name"": ""customer_name""}}",{},{},{},[],"{""customer_master"": {""customer_id"": ""asc""}}",,t,KYC & Customer Due Diligence Reports
rule_101_sub,Risk Profile - High risk customers (latest assessment),Customers whose most recent risk assessment shows High category,,Compliance,"[""customer_master"", ""customer_risk_profile""]","[{""join_type"": ""inner"", ""left_keys"": [""customer_id""], ""left_table"": ""customer_master"", ""right_keys"": [""customer_id""], ""right_table"": ""customer_risk_profile""}, {""join_type"": ""inner"", ""left_keys"": [""customer_id"", ""assessment_date""], ""left_table"": ""customer_risk_profile"", ""right_keys"": [""customer_id"", ""max_assessment_date""], ""right_subquery"": {""alias"": ""latest"", ""aggregations"": {""customer_risk_profile"": {""assessment_date"": {""alias"": ""max_assessment_date"", ""function"": ""MAX""}}}, ""select_columns"": {""customer_risk_profile"": {""customer_id"": ""customer_id""}}, ""tables_to_join"": [""customer_risk_profile""], ""groupby_columns"": {""customer_risk_profile"": [""customer_id""]}}}]","{""customer_risk_profile"": {""risk_category"": {""eq"": ""High""}}}","{""customer_master"": {""status"": ""status"", ""customer_id"": ""customer_id"", ""customer_name"": ""customer_name""}, ""customer_risk_profile"": {""risk_category"": ""risk_category""}}",{},{},{},[],"{""customer_master"": {""customer_id"": ""asc""}}",,f,Enhanced Due Diligence (EDD) Coverage Tracking
rule_301_sub,Geography Risk Flag based on High Risk Customer Count,"Groups customers by country, counts total and high-risk customers, and flags geographies with 5 or more high-risk customers as High Risk Geography.",Risk Manager,Compliance,"[""customer_master"", ""customer_risk_profile""]","[{""join_type"": ""left"", ""left_keys"": [""customer_id""], ""left_table"": ""customer_master"", ""right_keys"": [""customer_id""], ""right_table"": ""customer_risk_profile""}]",{},"{""customer_master"": {""country_code"": ""country_code""}}","{""customer_master"": {""customer_id"": {""alias"": ""total_customers"", ""function"": ""COUNT""}}}","{""customer_risk_profile"": [{""case"": {""else"": null, ""then"": 1, ""when"": {""value"": ""High"", ""operator"": ""eq""}}, ""alias"": ""high_risk_customers"", ""table"": ""customer_risk_profile"", ""column"": ""risk_category"", ""aggregate"": ""COUNT""}, {""case"": {""else"": null, ""then"": 1, ""when"": {""value"": ""High"", ""operator"": ""eq""}}, ""alias"": ""geography_risk_flag"", ""table"": ""customer_risk_profile"", ""column"": ""risk_category"", ""aggregate"": ""COUNT"", ""true_result"": ""High Risk Geography"", ""false_result"": ""Normal"", ""final_compare"": {""value"": 5, ""operator"": ""ge""}}]}","{""customer_master"": [""country_code""]}",[],"{""_alias"": {""high_risk_customers"": ""desc""}}",,f,High-Risk Jurisdiction Concentration
rule_302_sub,Customer UBO relationship details,Lists all customers with their UBO (Ultimate Beneficial Owner) information including ownership percentage and risk category,KYC Analyst,Compliance,"[""customer_master"", ""customer_ubo""]","[{""join_type"": ""left"", ""left_keys"": [""customer_id""], ""left_table"": ""customer_master"", ""right_keys"": [""customer_id""], ""right_table"": ""customer_ubo""}]",{},"{""customer_ubo"": {""country"": ""country"", ""ubo_name"": ""ubo_name"", ""risk_category"": ""risk_category"", ""ownership_percentage"": ""ownership_percentage""}, ""customer_master"": {""customer_id"": ""customer_id"", ""customer_name"": ""customer_name""}}",{},{},{},[],"{""customer_ubo"": {""ownership_percentage"": ""desc""}, ""customer_master"": {""customer_id"": ""asc""}}",,f,Transparency & Control Check
rule_200,Customer KYC Report,"Per customer: show KYC completion status, the max days_overdue and list all KYC documents status.",KYC Officer,Compliance,"[""customer_master"", ""kyc_document""]","[{""join_type"": ""left"", ""left_keys"": [""customer_id""], ""left_table"": ""customer_master"", ""right_keys"": [""customer_id_sk""], ""right_table"": ""kyc_document""}]",{},"{""kyc_document"": {""expiry_flag"": {""alias"": ""expiry_flag"", ""expression"": ""kyc_document.expiry_flag""}, ""document_type"": {""alias"": ""document_type"", ""expression"": ""kyc_document.document_type""}, ""document_id_sk"": {""alias"": ""document_id"", ""expression"": ""kyc_document.document_id_sk""}, ""document_status"": {""alias"": ""document_status"", ""expression"": ""kyc_document.document_status""}}, ""customer_master"": {""kyc_id"": {""alias"": ""kyc_id"", ""expression"": ""(SELECT MAX(ks2.kyc_id_sk) FROM kyc_status ks2 WHERE ks2.customer_id_sk = customer_master.customer_id AND ks2.days_overdue = (SELECT MAX(ks3.days_overdue) FROM kyc_status ks3 WHERE ks3.customer_id_sk = customer_master.customer_id AND ks3.days_overdue >= 0))""}, ""customer_id"": ""customer_id"", ""days_overdue"": {""alias"": ""days_overdue"", ""expression"": ""COALESCE((SELECT MAX(ks.days_overdue) FROM kyc_status ks WHERE ks.customer_id_sk = customer_master.customer_id AND ks.days_overdue >= 0), 0)""}, ""customer_name"": ""customer_name"", ""kyc_completion_status"": {""alias"": ""kyc_completion_status"", ""expression"": ""CASE WHEN (SELECT MIN(CASE WHEN ks.kyc_completed_flag = 'TRUE' THEN 1 ELSE 0 END) FROM kyc_status ks WHERE ks.customer_id_sk = customer_master.customer_id) = 1 THEN 'Completed' ELSE 'Pending' END""}}}",{},{},{},[],"{""kyc_document"": {""document_id_sk"": ""asc""}, ""customer_master"": {""customer_id"": ""asc""}}",,f,KYC Compliance Status
rule_100,High‑Risk Geography customers that also have a PEP relationship,"Lists customers whose most recent risk assessment is 'High', belong to a geography flagged as High Risk (5 or more high‑risk customers in the country), and have at least one PEP relationship.",Risk Manager,Compliance,"[""customer_master"", ""customer_risk_profile"", ""pep_relationships""]","[{""join_type"": ""inner"", ""left_keys"": [""customer_id""], ""left_table"": ""customer_master"", ""right_keys"": [""customer_id""], ""right_table"": ""customer_risk_profile""}, {""join_type"": ""inner"", ""left_keys"": [""customer_id""], ""left_table"": ""customer_master"", ""right_keys"": [""customer_id""], ""right_table"": ""pep_relationships""}]","{""high_risk_geography"": {""geography_risk_flag"": {""eq"": ""High Risk Geography""}}, ""customer_risk_profile"": {""risk_category"": {""eq"": ""High""}}}","{""customer_master"": {""status"": ""status"", ""customer_id"": ""customer_id"", ""country_code"": ""country_code"", ""customer_name"": ""customer_name""}, ""customer_risk_profile"": {""risk_category"": ""risk_category""}}","{""customer_master"": {""customer_id"": {""alias"": ""total_customers"", ""function"": ""COUNT""}}}","{""customer_risk_profile"": [{""case"": {""else"": null, ""then"": 1, ""when"": {""value"": ""High"", ""operator"": ""eq""}}, ""alias"": ""high_risk_customers"", ""table"": ""customer_risk_profile"", ""column"": ""risk_category"", ""aggregate"": ""COUNT""}, {""case"": {""else"": null, ""then"": 1, ""when"": {""value"": ""High"", ""operator"": ""eq""}}, ""alias"": ""geography_risk_flag"", ""table"": ""customer_risk_profile"", ""column"": ""risk_category"", ""aggregate"": ""COUNT"", ""true_result"": ""High Risk Geography"", ""false_result"": ""Normal"", ""final_compare"": {""value"": 5, ""operator"": ""ge""}}]}","{""customer_master"": [""country_code"", ""customer_id"", ""customer_name"", ""status""], ""customer_risk_profile"": [""risk_category""]}",[],"{""customer_master"": {""customer_id"": ""asc""}}",,f,High‑Risk Jurisdiction Concentration with PEP Exposure
